Accession	PSMs_Used_CarbonSources	TotInt_126C_CarbonSources	TotInt_127N_CarbonSources	TotInt_127C_CarbonSources	TotInt_128N_CarbonSources	TotInt_128C_CarbonSources	TotInt_129N_CarbonSources	TotInt_129C_CarbonSources	TotInt_130N_CarbonSources	TotInt_130C_CarbonSources
sp|P47149|NNF1_YEAST	5	42076.13348	44265.92969	51632.5686	71537.08362	68811.57465	63749.50427	40118.22266	41313.76148	39119.36325
sp|P47150|RT07_YEAST	17	1153671.521	1224813.704	1400444.58	2086488.853	2167801.921	2049710.019	1821880.125	1594611.829	1634026.68
sp|P47154|STE24_YEAST	60	26945733.29	22040201.04	24729028.96	15346683.39	12694841.13	13818042.23	24709958.32	22589981.79	24807738.83
sp|P47155|ILM1_YEAST	37	1588325.672	1486756.159	1638244.634	937466.0659	905518.5963	837734.55	1033675.129	895779.6291	1014845.805
sp|P47156|JHD2_YEAST	17	1689195.068	1571637.33	1755183.351	962737.7322	952627.8621	936514.0391	2356640.857	2028786.558	2485924.171
sp|P47158|CAF17_YEAST	18	1237131.45	1045836.536	1232248.439	1081014.801	1163751.706	1134699.92	1163306.145	941813.0212	1018144.114
sp|P47159|YJ94_YEAST	4	1174316.336	1037158.453	1124230.102	943272.2344	852340.5703	875198.5625	814314.0508	784248.6758	872245.4141
sp|P47160|ENT3_YEAST	43	11728009.15	10068005.79	11792381.47	6432951.356	6245429.632	6106532.355	8721231.355	7262228.153	8380039.029
sp|P47161|VPS70_YEAST	2	7236.133545	8159.762452	7902.11377	11666.11328	13713.62891	11266.03857	30015.98047	24333.44458	27505.18848
sp|P47163|EFM3_YEAST	5	338561.7773	298246.4932	331071.7627	278336.1563	303193.4346	290650.4297	422252.0527	316361.0107	390907.249
sp|P47164|MET7_YEAST	37	3812646.109	3430425.423	4078032.728	4058404.077	3827038.042	3769454.112	3642777.59	3127625.442	3497797.331
sp|P47165|XPT1_YEAST	16	2543299.99	2580474.871	2808650.79	3445471.721	3739140.127	3639416.83	2934580.65	2534416.618	2624696.568
sp|P47166|SGM1_YEAST	29	1998837.428	2001809.874	2239342.746	2868723.055	3381530.309	3005489.701	2252359.51	1764271.278	1951195.278
sp|P47167|CENPK_YEAST	6	652821.2317	542289.9414	586956.4995	419893.9604	331058.8687	366028.9485	625955.2227	526291.1904	613881.2764
sp|P47168|TTI2_YEAST	18	1597207.642	1403952.062	1619185.731	1168523.396	1027503.594	1043083.805	1689532.504	1494669.549	1702046.763
sp|P47169|MET5_YEAST	85	10171915.8	9332898.133	10888109.82	6789186.768	6766918.262	6384247.316	5319085.303	4559413.294	4791457.456
sp|P47170|IML1_YEAST	59	4435484.829	4308253.219	4931255.728	4306102.102	4069604.29	4150245.436	4411440.911	3830204.495	4281506.096
sp|P47171|HIR3_YEAST	59	3828411.133	3138727.396	3564086.019	2987325.916	2437100.56	2722350.048	4196462.373	3528924.062	4185275.579
sp|P47172|YJ9I_YEAST	5	75409.65729	80718.91382	80129.09912	75055.14258	57961.77124	73800.46289	70269.39477	73540.77783	72957.83936
sp|P47173|YJ9J_YEAST	31	5820565.469	5208775.535	5931872.354	4807549.921	4045298.174	4269163.063	4484435.796	3890279.275	4241849.473
