Accession	126C	127-N	127C	128-N	128C	129-N	129C	130-N	130C
sp|P38879|NACA_YEAST	155140	173080	207480	432300	531610	477160	293190	254250	235190
sp|P38880|MDM31_YEAST	68054	64427	68501	55833	53742	55058	84146	68759	80589
sp|P38881|NVJ1_YEAST	212410	187580	224670	155500	142680	147620	416900	348550	409680
sp|P38882|UTP9_YEAST	317910	284910	330980	283610	327990	271030	253940	196840	221960
sp|P38883|RIX1_YEAST	285670	244350	276320	333110	310100	314040	283230	252680	268720
sp|P38884|AIM18_YEAST	167160	145950	158450	120810	118130	115820	151350	131990	140700
sp|P38885|AIM46_YEAST	249220	207960	231180	190720	171270	176360	312280	273120	320250
sp|P38886|RPN10_YEAST	35913	32974	38519	65672	62498	57397	31226	27910	28107
sp|P38887|YH02_YEAST	163900	142790	163080	121470	105890	112110	205320	173970	202030
sp|P38888|MNL1_YEAST	32566	29396	31849	36361	30041	32818	31180	30142	32433
sp|P38889|SKN7_YEAST	118780	116740	135800	62554	59589	57332	93723	84405	93801
sp|P38890|SET5_YEAST	435440	377710	454560	346480	311790	318540	365390	314750	329800
sp|P38891|BCA1_YEAST	410180	383360	451320	689070	719270	672670	451290	397800	407230
sp|P38892|CRG1_YEAST	296520	257830	308050	126950	108290	107320	417390	383810	424340
sp|P38902|RPB11_YEAST	37232	37573	41714	110090	120820	119390	38707	35152	28613
sp|P38903|2A5D_YEAST	805830	637060	770500	481890	415680	419600	579900	510340	577280
sp|P38904|SPP41_YEAST	293330	280040	312480	303760	304030	292780	318750	266350	304370
sp|P38909|CYC2_YEAST	112610	94465	107800	58979	53072	54523	119840	100080	120650
sp|P38910|CH10_YEAST	203370	251840	297880	735650	856050	812520	434270	361900	312900
sp|P38911|FKBP3_YEAST	551510	475470	566990	348880	338200	314190	516660	444260	506050
sp|P38912|IF1A_YEAST	545690	824980	225870	375330	416530	361630	327600	284940	315430
sp|P38913|FAD1_YEAST	94485	90400	96637	75892	70113	70063	88350	76111	84784
sp|P38915|SPT8_YEAST	210420	192560	218620	202950	199040	185410	234760	207550	219340
sp|P38920|MLH1_YEAST	149800	130300	144820	147850	131110	144410	128090	107750	122120
sp|P38921|PET8_YEAST	128990	107210	133180	60367	56262	54294	124370	106660	130090
sp|P38922|HRB1_YEAST	144080	139790	155170	141550	140160	140240	141910	119470	132880
sp|P38925|SMF1_YEAST	27006	24443	24385	17871	15488	17600	77613	63030	76546
sp|P38927|REV7_YEAST	4238.8	3968.4	3676.4	2234.9	1866.4	2038.6	4590.3	4151.4	4863.8
sp|P38928|AXL2_YEAST	226750	195840	234090	125300	134170	120670	94367	74891	84252
sp|P38929|ATC2_YEAST	635220	596940	675500	529380	534770	543340	899030	789390	827600
sp|P38930|CSK2C_YEAST	121420	109120	125680	220060	193350	205020	83938	80558	73997
sp|P38931|SSN2_YEAST	222860	200090	232690	173740	163570	162800	225390	188770	209450
sp|P38932|VPS45_YEAST	158140	153380	172650	274100	297590	307560	149180	133660	127150
sp|P38934|BFR1_YEAST	2175200	2164000	2094200	1826100	2040700	1980700	1615400	1359500	1487000
sp|P38956|SNF11_YEAST	46237	33974	42699	30295	24743	24864	52137	44476	44174
sp|P38958|PT100_YEAST	105040	98405	108430	56908	50508	51405	97303	85171	96211
sp|P38959|VPS41_YEAST	715680	574860	676940	509350	449800	468180	520810	446590	501540
sp|P38961|RRP8_YEAST	252820	223310	266660	290280	257590	279060	268180	222550	250480
sp|P38962|TVP23_YEAST	124260	104230	118050	68320	57720	62952	123640	113320	124210
sp|P38966|YD089_YEAST	265750	266380	316050	331830	320600	314810	232450	203800	206650
sp|P38967|TAT2_YEAST	24929	21290	24805	15706	15414	11943	21372	18026	22470
sp|P38968|SEC31_YEAST	766520	733160	878730	1448900	1454100	1395200	1044900	894170	897900
sp|P38969|PNT1_YEAST	136570	120440	133450	91254	78425	83930	170720	159220	178480
sp|P38970|HAL5_YEAST	288240	262100	306340	338720	337590	335910	351350	304260	325610
sp|P38972|PUR4_YEAST	924290	884350	1070100	2311900	2482900	2468400	829670	690060	637610
sp|P38985|SRP14_YEAST	77599	68608	80802	60506	55398	54102	60907	48335	56398
sp|P38986|ASPG1_YEAST	216670	196430	258430	521790	666410	638540	185840	170480	151780
sp|P38987|TEM1_YEAST	16371	15574	18095	18302	14665	16532	12660	10666	11307
sp|P38988|GGC1_YEAST	1033900	864550	982390	674000	565330	610520	1225800	1012800	1230400
sp|P38989|SMC2_YEAST	240900	238490	264510	266670	262810	260880	222800	197730	209550
sp|P38990|SAK1_YEAST	238050	231660	269500	237800	232070	230580	275880	238290	256200
sp|P38992|SUR2_YEAST	382590	245120	329780	90819	77915	77039	168690	139460	180860
sp|P38993|FET3_YEAST	420950	335590	399270	143900	126460	125600	203050	171290	193020
sp|P38994|MSS4_YEAST	233240	220230	248670	184130	161700	172260	264160	234540	251770
sp|P38995|ATU2_YEAST	93829	82576	89994	64571	60363	61932	70596	65703	72934
sp|P38996|NAB3_YEAST	521530	495700	582520	532170	529980	538200	639890	535910	608700
sp|P38998|LYS1_YEAST	174760	185170	227450	674550	818450	771640	215520	174200	161380
sp|P38999|LYS9_YEAST	321120	327300	371070	748020	788940	770650	373270	309390	305850
sp|P39001|UME6_YEAST	98320	88613	80353	66437	62023	60707	95697	82672	75154
sp|P39002|LCF3_YEAST	310090	293940	338180	430640	419630	446240	360680	306410	322830
sp|P39003|HXT6_YEAST;sp|P53631|HXT17_YEAST;sp|P54854|HXT15_YEAST;sp|P47185|HXT16_YEAST;sp|P40886|HXT8_YEAST	500360	437620	486280	1109200	848110	1024800	1980000	1643500	1851200
sp|P39004|HXT7_YEAST	43750	37051	41974	208960	182690	204180	340170	285700	350210
sp|P39005|KRE9_YEAST	48341	44601	49359	31079	32266	30443	35393	30888	36758
sp|P39006|PSD1_YEAST	344520	292280	329560	246770	239320	244110	329710	288170	301710
sp|P39007|STT3_YEAST	759420	607010	714760	568980	511150	544270	709400	627460	705360
sp|P39008|POP2_YEAST	150030	131210	149150	138900	129290	132800	128850	103700	116910
sp|P39009|DUN1_YEAST	142110	163190	191560	192170	192800	204030	134430	119280	118990
sp|P39010|AKR1_YEAST	334170	299090	350760	400260	396820	381590	289630	254290	262880
sp|P39011|BEM4_YEAST	212990	178370	196240	159270	141810	149740	243260	204370	247670
sp|P39012|GAA1_YEAST	285980	241260	265840	200120	170800	184210	284300	247990	285420
sp|P39013|END3_YEAST	868360	790930	911360	696150	674500	683240	813730	702510	787090
sp|P39014|MET30_YEAST	104420	90362	112280	51661	51832	46930	61755	52304	54854
sp|P39015|STM1_YEAST	1735400	1435300	1733600	1344000	1247500	1295000	1688600	1391700	1624100
sp|P39016|MPT5_YEAST	38183	37705	43649	51994	47286	53329	55619	54752	53289
sp|P39073|SSN3_YEAST	79836	70356	84396	54869	56668	53667	56656	48559	51769
sp|P39076|TCPB_YEAST	300100	278280	319930	391570	424260	390260	282850	243280	255430
sp|P39077|TCPG_YEAST	653630	580290	652480	1039500	1018100	1055800	480580	409370	393100
sp|P39078|TCPD_YEAST	473930	445200	499440	763690	759390	738840	423190	362030	368340
sp|P39079|TCPZ_YEAST	248060	239040	287940	697530	808340	770760	295660	251130	240470
sp|P39081|PCF11_YEAST	434280	397490	462800	255880	244040	236450	348160	289760	335780
sp|P39083|RGA1_YEAST	148860	140950	165270	88284	81987	82752	151420	128770	151350
sp|P39101|CAJ1_YEAST	625880	550340	655970	516490	557030	514950	587580	482070	550950
sp|P39102|XDJ1_YEAST	13962	14494	15106	24484	25490	24264	23929	20304	22733
sp|P39103|COX14_YEAST	69199	63950	73083	45459	37908	42855	165720	142110	167210
sp|P39104|PIK1_YEAST	442150	399150	467680	510370	511280	507310	407460	333770	373360
sp|P39105|PLB1_YEAST	254740	218150	244910	118480	102680	107220	313300	268570	307760
sp|P39106|MNN1_YEAST	455540	395910	468570	362350	321600	336310	227160	198720	217100
sp|P39107|MNN9_YEAST	422770	362530	393400	269820	243610	256000	398870	351220	398470
sp|P39108|PEX7_YEAST	49197	44678	53892	40755	39153	40167	54902	43228	53143
sp|P39109|YCFI_YEAST	1091900	966880	1099000	1046400	992110	1032200	932530	825150	939760
sp|P39110|CIN4_YEAST	72527	67459	71751	65546	57088	58669	68731	56333	67081
sp|P39111|VATF_YEAST	131810	111890	136790	210450	265090	246390	124490	96771	96658
sp|P39112|DSS1_YEAST	64639	63453	69031	85236	78881	80983	74337	64152	68335
sp|P39113|CAT8_YEAST	513510	434870	508370	596130	527900	552370	629870	528860	614210
sp|P39515|TIM17_YEAST	266170	206040	264390	203940	163280	184900	343880	268630	279050
sp|P39517|DHH1_YEAST	430600	351560	434400	786960	650100	753000	271470	240200	225570
sp|P39518|LCF2_YEAST	354720	348770	377460	255240	231840	239800	834210	722160	788550
sp|P39520|IFH1_YEAST	95681	84037	102400	71270	66361	63618	79614	65890	72655
sp|P39521|FHL1_YEAST	328900	303770	356600	293560	298610	294180	302300	251300	284550
sp|P39522|ILV3_YEAST	912930	872700	1077400	1528300	1521400	1476700	1203100	1006000	1002000
sp|P39523|YM11_YEAST	215960	201530	242000	183580	190580	183380	269280	212140	243160
sp|P39524|ATC3_YEAST	351160	311240	363570	340670	308710	322230	387460	344020	373720
sp|P39525|CEM1_YEAST	6701.6	5892	6940.5	18346	18797	20073	8609.2	8057.8	7808
sp|P39526|LAA1_YEAST	914910	769830	868540	752830	632320	687450	758780	681350	761770
sp|P39529|YJU6_YEAST	8032.9	7780.2	7805.2	8532.1	7191.5	7823.6	14595	11576	14271
sp|P39531|RCY1_YEAST	464340	411560	457970	376740	307350	335050	380800	323880	359610
sp|P39533|ACON2_YEAST	219010	211500	239960	466880	492470	490250	132630	111040	104760
sp|P39535|PHO90_YEAST	155090	135280	162000	113610	104210	106230	108550	96911	104670
sp|P39538|UBP12_YEAST	413530	362540	416970	410490	382700	385920	351170	282050	309200
sp|P39540|ELO1_YEAST	266830	212700	252450	172790	158530	175430	185710	180720	183560
sp|P39542|YJT3_YEAST	24866	21926	23394	16128	12990	15568	13673	13770	14264
sp|P39543|SOP4_YEAST	72729	72965	75978	117250	98788	112150	149710	128130	141100
sp|P39547|UIP3_YEAST	41043	41475	39721	19746	18926	18243	50625	43109	47788
sp|P39548|YAJ8_YEAST	6791.7	6739.6	7232.7	2879.7	2703.4	2679	1826	1800.9	1809.5
sp|P39551|PRM9_YEAST	9327.6	7770.6	7515.2	3693	3292.2	3283.3	4197.5	3487.7	3897.7
sp|P39552|MST28_YEAST;sp|P53176|MST27_YEAST	97612	75878	83805	81967	70687	79716	81691	69434	79142
sp|P39676|FHP_YEAST	611960	576080	668140	586480	630140	593490	817160	637050	690570
sp|P39677|RRF2M_YEAST	83261	75270	81756	95044	86194	90736	106810	87752	100070
sp|P39678|MBP1_YEAST	144380	140190	152610	116580	109060	113000	131690	120970	130420
sp|P39682|PRP39_YEAST	427790	341500	393690	314830	281520	298880	404550	344250	399460
sp|P39683|NPT1_YEAST	567470	509430	603690	878370	912780	907350	536570	426750	457730
sp|P39684|PES4_YEAST	5799.1	4605.1	5557.3	1332.9	1279.9	1059	4040.1	3345.9	3981.9
sp|P39685|PO152_YEAST	592450	541110	633530	771270	711300	733650	1227300	1018700	1183400
sp|P39692|MET10_YEAST	429000	385520	429410	254500	230620	229220	119970	105670	102380
sp|P39702|VPS8_YEAST	298800	243790	273970	204630	180180	184950	259890	221070	260940
sp|P39704|ERP2_YEAST	240220	191700	232010	164440	140950	150840	250490	214380	240510
sp|P39705|NUP60_YEAST	467450	449290	533130	529610	551750	524240	446650	377520	390930
sp|P39706|SWD1_YEAST	39147	34802	38266	29663	26472	28159	28872	27013	27299
sp|P39707|SEN34_YEAST	75032	69722	78080	63599	58497	57403	60353	49569	55477
sp|P39708|DHE5_YEAST	214210	216520	250320	227270	232420	230570	1391700	1175900	1414800
sp|P39713|BDH2_YEAST	27731	27041	28399	37605	36053	37103	76052	63244	75820
sp|P39714|BDH1_YEAST	547920	504960	594230	460960	483940	446850	681030	600240	559650
sp|P39715|ECM1_YEAST	171410	168060	191680	117000	120640	112720	118050	100830	111860
sp|P39717|GPB2_YEAST	224810	211420	243590	215880	202680	208970	233570	204120	195460
sp|P39718|PEX22_YEAST	110450	102310	117030	74462	73849	69336	128490	112610	131300
sp|P39719|FLC2_YEAST	165590	146760	175130	88241	75945	81279	197740	174290	190170
sp|P39720|OAF1_YEAST	100240	87784	95554	82840	71732	75951	90054	86836	98786
sp|P39721|AIM2_YEAST	662460	552180	611890	328230	285220	299270	827580	733840	832810
sp|P39722|GEM1_YEAST	187750	154650	181110	169000	149990	157550	173520	147270	176680
sp|P39723|SPC72_YEAST	103130	97451	108220	162220	159190	161960	136310	113330	122480
sp|P39724|BOL3_YEAST	44193	55226	64950	108210	138680	116500	85888	65503	68238
sp|P39726|GCSH_YEAST	70169	67392	73986	123580	132280	125400	276300	225350	265270
sp|P39727|ERV46_YEAST	251520	217790	247330	211500	190820	191760	241880	206080	230620
sp|P39729|RBG1_YEAST	92657	90505	104540	182480	183330	181420	126210	101590	108850
sp|P39730|IF2P_YEAST	1037400	922520	1108100	1591000	1608800	1604500	929750	793660	826780
sp|P39731|MTW1_YEAST	133930	113700	125350	97191	102740	98738	104250	77790	93676
sp|P39732|GIP4_YEAST	236490	221930	239170	241070	222750	246450	285610	255770	274930
sp|P39734|HPH2_YEAST	17325	16542	19453	12656	13173	12985	22370	18196	21723
sp|P39742|SEC72_YEAST	56334	49996	58273	132470	125870	140270	45331	38804	40273
sp|P39743|RV167_YEAST	385470	357060	421350	440760	453590	434610	353670	291370	315970
sp|P39744|NOC2_YEAST	401170	363290	426050	351400	346160	335690	407200	356230	389760
sp|P39904|VPS52_YEAST	130390	115380	132730	139330	136660	136190	123960	104070	117200
sp|P39923|NPR2_YEAST	51231	45824	50143	73219	71199	79280	56688	49775	52628
sp|P39924|HXT13_YEAST	12343	12544	12052	3706.9	3429.9	3294.8	18368	18564	16846
sp|P39925|AFG3_YEAST	312760	276750	331060	264170	255260	253640	490330	423410	470050
sp|P39926|SSO2_YEAST	269270	247270	307250	234820	233610	219560	251460	212350	214800
sp|P39927|PTI1_YEAST	75188	74052	82088	107270	123800	112950	73864	62491	69372
sp|P39928|SLN1_YEAST	151570	148770	171640	119960	137300	114510	151420	128240	145020
sp|P39929|SNF7_YEAST	448450	423540	528980	297680	306140	276010	457000	378160	430610
sp|P39931|SS120_YEAST	167990	172240	188280	152640	149540	150670	243150	210370	232930
sp|P39932|STL1_YEAST	2772.2	2419.2	3327.4	31400	29420	33810	37970	34710	37170
sp|P39933|TF3A_YEAST	157500	106220	155110	289800	22910	202110	67209	81316	76194
sp|P39935|IF4F1_YEAST	1417800	1257600	1472600	1226200	1212800	1175100	1344500	1124100	1277700
sp|P39936|IF4F2_YEAST	1107600	1148700	943410	912780	951720	956710	945070	758520	835180
sp|P39937|PAC2_YEAST	13000	12435	13363	20662	16879	19331	14179	12103	13572
sp|P39939|RS26B_YEAST	188270	170670	211840	430960	471060	517230	198990	166100	164420
sp|P39940|RSP5_YEAST	723170	670270	759930	652200	618950	617630	744870	654850	714870
sp|P39944|UBP5_YEAST	32099	28103	32503	36971	34183	36123	41906	38910	40768
sp|P39945|AST2_YEAST	162460	146860	183910	198790	190180	177760	204790	167820	167450
sp|P39946|LIS1_YEAST	123110	111320	124530	102210	87033	89933	143970	130450	147360
sp|P39952|OXA1_YEAST	262050	207150	236500	202670	174320	198320	346830	303940	331650
sp|P39953|YEA6_YEAST	80880	66990	75744	56696	50262	50487	78353	68815	80592
sp|P39954|SAHH_YEAST	1341200	1172200	1395300	2981300	2981200	3208200	1073500	926240	879160
sp|P39955|SAP1_YEAST	233160	232410	268740	214840	199620	196800	229780	196350	209240
sp|P39956|RPH1_YEAST	165880	164940	181200	192960	225880	202450	208380	176530	192670
sp|P39958|GDI1_YEAST	840720	735940	887710	906790	843260	843570	1123400	917620	1010600
sp|P39960|BEM2_YEAST	1144400	999690	1155300	1124700	981600	1068200	1060400	905840	1003600
sp|P39961|YE14_YEAST	11181	10253	10895	7034.6	7200.9	6570.5	13705	12029	14344
sp|P39962|KC13_YEAST	153290	150330	171570	160430	159040	157650	177820	150750	165050
sp|P39965|SYPM_YEAST	148550	136390	151390	182300	187240	177160	154290	132120	143050
sp|P39966|PP2C2_YEAST	300810	310110	350350	500630	569340	541920	313800	279790	272670
sp|P39967|UBP9_YEAST	47640	49676	49212	40787	39083	39631	46292	40853	44077
sp|P39968|VAC8_YEAST	376470	357160	414500	490620	492320	463970	476910	396710	429090
sp|P39969|BOI2_YEAST	351060	350800	401210	263280	259180	249960	373320	328050	350500
sp|P39976|DLD3_YEAST	339560	319360	384250	932630	1019600	997970	173610	153770	128530
sp|P39979|HPA3_YEAST	87753	80362	83263	74468	71851	69506	150270	116730	139150
sp|P39980|SIT1_YEAST	41656	37041	39965	23484	21802	24552	57725	51753	59707
sp|P39981|AVT2_YEAST	35383	31284	32589	17700	14791	15877	26457	25066	27171
sp|P39984|HAT2_YEAST	142060	134650	158350	244770	298980	261090	160090	128600	135170
sp|P39985|DPO5_YEAST	723900	613430	719110	751810	678950	697220	641200	535220	586700
sp|P39986|ATC6_YEAST	1218100	1101900	1289100	1594700	1529200	1577900	1319200	1166600	1223500
sp|P39987|HSP7E_YEAST	22218	23951	28187	15840	23278	17116	111130	85343	98883
sp|P39988|BUD16_YEAST	61072	54598	58550	74214	57889	64269	87924	74811	84507
sp|P39990|SNU13_YEAST	118330	117600	140170	128990	129940	121620	170210	145020	154960
sp|P39991|YEC5_YEAST	129810	104860	137260	75822	75917	69277	115620	96381	128870
sp|P39993|GEA2_YEAST	839660	707880	823490	1017800	921150	1011700	705990	613180	647780
sp|P39994|YEC0_YEAST	243120	231820	263310	222310	192980	204450	475430	404250	482890
sp|P39995|EAF5_YEAST	81235	78389	93556	68513	64594	65309	78309	69158	69781
sp|P39996|GTT3_YEAST	294900	273450	330670	272310	252180	251350	362330	315490	342280
sp|P39998|EDC3_YEAST	275930	254830	313660	272800	297680	275490	235290	192170	207020
sp|P40002|MIT1_YEAST	21209	19623	19912	17835	17085	17928	25501	22934	24466
sp|P40003|VAB2_YEAST	4230	4746.8	5055.2	4462.9	4382.7	4203.3	6441.5	5487.7	5600.2
sp|P40005|PFD2_YEAST	244470	259840	317920	253370	273120	249100	210700	176240	188230
sp|P40006|IRC22_YEAST	128400	108610	133850	122350	120390	124150	206920	162910	204310
sp|P40007|NOP16_YEAST	202960	186120	214910	137110	135830	134510	125790	101620	112120
sp|P40008|FMP52_YEAST	214420	206000	251510	268830	298130	266300	365550	305590	333190
sp|P40009|YND1_YEAST	206720	179400	203200	136480	121620	126260	137900	117480	131690
sp|P40010|NUG1_YEAST	237900	236330	274900	429610	454260	429890	235460	203870	207760
sp|P40011|RRAAH_YEAST	51169	52045	55556	79210	78432	73764	69142	58205	55363
sp|P40012|PPOX_YEAST	404460	381410	447950	479410	468620	477700	538990	467600	507420
sp|P40013|BIM1_YEAST	202040	191240	220260	171210	177770	185140	140360	123330	132390
sp|P40014|SPC25_YEAST	12607	11552	14005	26854	27899	29350	14062	12446	11059
sp|P40015|ISC1_YEAST	129170	114980	134270	128340	112820	116060	143700	126840	145580
sp|P40016|RPN3_YEAST	527650	475200	553710	479360	411500	428750	484070	428290	469690
sp|P40017|YAT2_YEAST	192460	184530	228560	1369800	1293900	1355700	883040	785890	812750
sp|P40018|RSMB_YEAST	245810	229010	262020	308060	301470	306380	363570	309940	346410
sp|P40019|CHZ1_YEAST	552130	481050	559420	207910	200640	179690	357450	281990	343550
sp|P40020|FIR1_YEAST	36782	36241	37802	22227	20316	21097	26524	22714	27944
sp|P40021|ZRG8_YEAST	47779	45805	49088	30534	28376	28843	30351	24656	28677
sp|P40022|YEM4_YEAST	28237	30160	36630	42634	43462	39776	54690	45130	48381
sp|P40023|EDC2_YEAST	7957.6	7430.1	7881.5	5124	5046.4	4795.3	3301.2	3353.5	3074.3
sp|P40024|ARB1_YEAST	922050	824770	987790	1308800	1416400	1337300	882850	723960	771150
sp|P40026|KRE29_YEAST	114800	87980	100020	64602	62295	61233	120580	104910	123680
sp|P40028|YEN1_YEAST	56330	47596	53297	36851	33824	36708	66305	57190	70742
sp|P40029|MSRA_YEAST	214230	191490	230980	278010	293170	288410	275940	206890	236540
sp|P40030|ERG28_YEAST	182820	156110	170450	130270	107110	123560	327310	284310	335650
sp|P40031|SPO73_YEAST	13156	12527	13079	9911	9836.6	10303	12347	9410.9	10089
sp|P40032|TPA1_YEAST	675810	609960	707630	1041300	1013700	1048700	606080	513900	545470
sp|P40033|RSM18_YEAST	151960	127570	150720	67489	62474	62473	123700	101810	130230
sp|P40034|JHD1_YEAST	13835	12671	14430	15013	13957	15226	33920	29960	34229
sp|P40035|PIC2_YEAST	587090	502620	574070	398090	343990	361920	560490	500730	569510
sp|P40036|GIP2_YEAST	231870	225110	257530	141120	143490	137970	562010	461060	521030
sp|P40037|HMF1_YEAST	154440	173340	197450	123120	105970	116790	663130	593380	602460
sp|P40038|PCL6_YEAST	64310	58925	64587	73736	65306	73863	96329	80357	95333
sp|P40040|THO1_YEAST	432890	414300	496960	407880	414990	401840	527400	433980	464230
sp|P40043|RGI1_YEAST	458430	319710	409650	153890	141420	143310	574560	456920	566090
sp|P40045|TDA2_YEAST	12979	13206	15455	25015	28623	26894	20714	17189	15800
sp|P40046|VTC1_YEAST	8075.5	8088.3	8551.4	5560.8	6127.8	6085.3	7727.6	7869.4	8116.9
sp|P40047|ALDH5_YEAST	238100	238600	280720	722580	760410	762950	331630	283450	258750
sp|P40048|PTP3_YEAST	11263	10570	11084	17417	17994	19786	15556	13564	14299
sp|P40050|MRX1_YEAST	225740	206690	234680	236430	217050	222590	259510	224580	255710
sp|P40051|ICP55_YEAST	89925	84165	100720	192420	192070	200330	112400	103680	100070
sp|P40052|YEQ9_YEAST	297870	265600	306200	190240	186330	166930	463170	359630	419360
sp|P40053|AIM9_YEAST	688290	614560	737490	929860	963290	930470	907100	740880	776780
sp|P40054|SERA_YEAST	683200	539030	673360	875910	832340	852410	433620	352790	372070
sp|P40055|UTP7_YEAST	209570	204050	229860	217990	210900	208930	212400	183200	196120
sp|P40056|GET2_YEAST	267300	215160	262610	144530	140550	138110	241550	203830	239080
sp|P40059|DOT6_YEAST	5139.4	4586.6	5200.5	2491.2	2494.4	2075.5	2725.3	2279.6	3013.8
sp|P40060|IES5_YEAST	41971	43618	47158	39762	38825	39170	47560	39407	41437
sp|P40061|TSC11_YEAST	223060	212730	223380	238090	224720	233550	257540	224560	245240
sp|P40064|NU157_YEAST	953810	794510	906710	872910	782540	811290	901900	760410	871450
sp|P40066|GLE2_YEAST	23586	20815	25742	76122	79191	76026	20189	17267	16832
sp|P40069|IMB4_YEAST	1072500	882760	1063700	1790500	1661900	1803900	1047400	838920	902200
sp|P40070|LSM4_YEAST	103930	106790	112360	89413	81974	93305	94727	88481	84734
sp|P40071|TMN3_YEAST	190830	153370	179250	123380	105900	115760	170470	152960	175870
sp|P40073|SHO1_YEAST	91734	75697	90207	51953	48696	49920	62792	52424	60357
sp|P40074|AVT6_YEAST	132450	103980	121810	83233	76413	84102	78979	73831	83885
sp|P40075|SCS2_YEAST	728340	545230	650510	736490	772160	748540	898800	722080	847190
sp|P40078|NSA2_YEAST	118060	114300	137620	133270	127850	116330	136050	115200	124090
sp|P40079|LCP5_YEAST	40755	43730	48399	49851	50963	51589	37101	35202	33277
sp|P40080|VFA1_YEAST	181570	135110	177910	100350	100070	91008	129710	110210	130610
sp|P40081|MGDP1_YEAST	131660	121630	145250	167540	181540	174590	113570	92444	99772
sp|P40084|RTR1_YEAST	113120	97936	110320	95784	92851	93712	101330	83429	92058
sp|P40085|TAPT1_YEAST	7368	6699.5	8604.1	5997.9	5494.2	5643.2	9023.5	8359.2	8567.4
sp|P40086|COX15_YEAST	729290	535650	632510	503530	408490	450650	892770	770900	878760
sp|P40087|DDI1_YEAST	87723	88906	110760	219200	262010	233870	190020	154070	176320
sp|P40088|FTR1_YEAST	479630	352140	418660	183200	140490	155390	245610	216860	258620
sp|P40089|LSM5_YEAST	208850	201360	257450	201670	207740	185350	273930	237770	250930
sp|P40090|SCC4_YEAST	162860	129440	150230	155150	128680	139210	157260	137350	152160
sp|P40091|PEA2_YEAST	252630	219840	255420	203290	210110	194190	162080	124440	144770
sp|P40093|YEY6_YEAST;REV__sp|P40093|YEY6_YEAST	241050	254620	287800	429410	435570	416260	453810	403490	402450
sp|P40094|COG3_YEAST	363110	318850	372600	406490	358610	373180	330530	274790	318360
sp|P40096|NCB1_YEAST	198510	196140	247430	192830	209130	179740	213920	169780	184270
sp|P40098|FMP10_YEAST	303880	263820	304830	202200	189120	194130	542370	470190	514400
sp|P40099|FTHC_YEAST	68074	62150	61898	44258	42005	41720	46097	36340	41830
sp|P40106|GPP2_YEAST	101650	107160	133160	751750	933140	911990	109540	99628	68941
sp|P40107|GMT1_YEAST;sp|P0CE11|GMT2_YEAST	136590	111310	119560	81172	76379	80707	73875	63937	77820
sp|P40150|SSB2_YEAST	2147600	2048500	2379800	3068100	3297200	3115700	2397800	1992800	2008500
sp|P40151|WRIP1_YEAST	224110	197840	227230	157060	157330	153850	354010	280150	343920
sp|P40154|IES2_YEAST	150390	149190	165410	95638	90147	86854	125210	105950	122510
sp|P40155|PEX17_YEAST	77933	72877	73933	72252	67020	71687	91425	80861	95619
sp|P40156|RRG9_YEAST	902.68	849.7	1030.8	1737.1	1435.9	1782.2	1751.2	1543.2	1729.4
sp|P40157|VID27_YEAST	681510	614690	715750	698150	717060	685650	738710	602150	667770
sp|P40159|YNU8_YEAST	595850	501400	569480	340100	321900	349320	755660	661430	755470
sp|P40160|RIO2_YEAST	193330	169820	216620	158440	165100	156980	192150	151770	171570
sp|P40161|RT106_YEAST	112940	101620	121110	188650	201560	194980	113470	92153	97158
sp|P40164|PP4R3_YEAST	232320	194930	226100	176150	150370	159430	210260	177980	206520
sp|P40165|NNRE_YEAST	119590	109660	132680	118000	113270	104980	199990	165200	189970
sp|P40168|YNT5_YEAST	38420	35576	43232	42766	44352	41491	280840	230490	278960
sp|P40169|YNT4_YEAST	99597	92910	100660	85195	76000	83860	231590	206310	241190
sp|P40185|MMF1_YEAST	196410	197370	255580	277610	323540	278290	257670	203580	209790
sp|P40186|PCL7_YEAST	6528.5	5549.9	5980.1	9179.1	6192.6	7893.9	7906	7507.9	8233.1
sp|P40187|PIG2_YEAST	165100	169820	192490	150050	152780	147000	197200	178350	181610
sp|P40188|RGI2_YEAST	18969	19822	22923	92369	96503	98907	571740	467790	518450
sp|P40202|CCS1_YEAST	61229	60754	65756	88319	95711	86485	56612	51674	50582
sp|P40204|RUXG_YEAST	18446	19416	22581	30609	30412	28761	29279	27187	27483
sp|P40206|JLP2_YEAST	158550	139730	164640	133700	123630	125990	101220	85167	93335
sp|P40207|YM17_YEAST	173710	162920	181660	228010	267870	232090	234900	196920	205520
sp|P40208|GID8_YEAST	85299	79926	90263	135370	119400	132560	124590	101400	110460
sp|P40209|GAT2_YEAST	779.67	694.5	1135.8	567.86	451.91	351.85	591.91	507.22	762.03
sp|P40210|SIP5_YEAST	71118	70273	78692	74237	73801	70140	77897	65680	71020
sp|Q12690|RL13A_YEAST;sp|P40212|RL13B_YEAST	858950	778030	941850	875930	941970	890300	756800	619830	629640
sp|P40215|NDH1_YEAST	1552500	1245900	1501300	837220	784850	775430	1883800	1575500	1808500
sp|P40217|EIF3I_YEAST	156020	148710	173080	344780	372140	347730	147470	128280	114270
sp|P40218|YM24_YEAST	71758	64946	83630	48987	56948	49439	46950	38259	43578
sp|P40219|OSW5_YEAST	44157	39547	43593	33099	30876	34378	53357	47977	59296
