Accession	126C	127-N	127C	128-N	128C	129-N	129C	130-N	130C
sp|P08466|NUC1_YEAST	460890	381580	463780	307150	287000	277380	431060	360370	406450
sp|P08468|PT111_YEAST	50669	45466	47999	30225	25921	28860	50121	44940	53378
sp|P08518|RPB2_YEAST	833750	761420	875780	1108000	1029400	1092300	866550	737360	783730
sp|P08524|FPPS_YEAST	1013400	852410	988890	933080	897790	881160	1024600	897870	933730
sp|P08525|QCR8_YEAST	319710	288740	319450	224060	188320	206060	678850	564870	631150
sp|P08536|MET3_YEAST	65962	61239	65772	83658	85464	80676	14696	13036	11147
sp|P08539|GPA1_YEAST	314070	270020	330560	301750	298330	281560	382430	302530	363640
sp|P08566|ARO1_YEAST	1690900	1507900	1820600	2752200	2698700	2710200	1601300	1366200	1343200
sp|P08593|MSS18_YEAST	26451	22595	24415	37059	28743	32552	44654	34578	42263
sp|P08638|LEUR_YEAST	35441	33227	34424	38232	35118	37223	34270	31209	33156
sp|P08678|CYAA_YEAST	475790	446520	497700	628810	591840	619700	488470	418780	444650
sp|P08679|CISY2_YEAST	176860	179930	226410	1499400	1465100	1540900	738540	625200	616650
sp|P08964|MYO1_YEAST	606610	590010	645860	683310	695390	685700	388180	338890	364660
sp|P09032|EI2BG_YEAST	389290	347010	434050	451190	431750	412650	422420	364210	397610
sp|P09064|IF2B_YEAST	720100	653810	780920	648150	612410	590020	734780	622260	701570
sp|P09201|F16P_YEAST	16210	17151	33795	611060	551630	523130	521500	444610	439570
sp|P09232|PRTB_YEAST	997100	873010	988920	617500	603370	593370	1482300	1222300	1399900
sp|P09368|PUT1_YEAST	46729	44012	48267	49655	47167	47900	80907	70036	78141
sp|P09435|HSP73_YEAST	149110	152880	171640	89475	113940	110710	1592500	1254500	1302700
sp|P09436|SYIC_YEAST	2988000	2657800	3101900	3792300	3589000	3794700	2206000	1926100	2013400
sp|P09440|C1TM_YEAST	728250	690310	806630	1403900	1352800	1390600	754560	650340	647570
sp|P09457|ATPO_YEAST	426990	441860	534270	710900	694380	667570	1038000	868550	817730
sp|P09547|SWI1_YEAST	302710	280500	310930	399290	396770	439940	339600	300080	304470
sp|P09620|KEX1_YEAST	572570	503910	562480	434030	393740	411290	459950	395170	431480
sp|P09624|DLDH_YEAST	3494200	3085100	3619500	2019100	1891500	1861900	7176600	6111300	7010500
sp|P09733|TBA1_YEAST	782710	716000	804380	1042100	977530	941490	803490	692370	755730
sp|P09734|TBA3_YEAST	408370	369750	428880	403870	376220	346710	322900	275800	305330
sp|P09798|CDC16_YEAST	158830	144840	154860	189370	164650	189610	114640	99414	106720
sp|P09880|TRNL_YEAST	327480	312060	358300	484330	487870	493960	282180	240410	235730
sp|P09938|RIR2_YEAST	2227000	1926200	2234800	1148100	1052000	1022000	3002400	2482300	2877400
sp|P09950|HEM1_YEAST	170510	162360	185970	324180	338050	339650	184610	160190	159340
sp|P09959|SWI6_YEAST	190180	181700	210380	229290	236010	231280	213830	179000	188430
sp|P0C074|YSF3_YEAST	16890	19560	18684	13801	12135	11775	15004	12856	13437
sp|Q3E792|RS25A_YEAST;sp|P0C0T4|RS25B_YEAST	161430	174290	191080	260790	240250	239950	246150	208510	223560
sp|P0C0V8|RS21A_YEAST;sp|Q3E754|RS21B_YEAST	271640	309630	384990	332260	386000	346370	242190	197510	189510
sp|P0C0W9|RL11A_YEAST;sp|Q3E757|RL11B_YEAST	855620	822900	984170	1128800	1079500	1121900	694870	577970	585690
sp|Q3E7X9|RS28A_YEAST;sp|P0C0X0|RS28B_YEAST	360040	318330	478350	418200	523800	423060	249110	225920	231860
sp|P0C268|YB39B_YEAST	12976	13178	15106	10589	12347	10302	31492	32169	32800
sp|P0C2H7|RL27B_YEAST;sp|P0C2H6|RL27A_YEAST	628940	519930	640910	955550	932890	923470	607940	496750	487530
sp|P0C2H8|RL31A_YEAST	1201700	1179400	1364900	1309400	1135200	1176800	1126600	938870	973180
sp|P0C2H9|RL31B_YEAST	120180	118510	139730	114410	111200	111450	138790	119300	138380
sp|Q12414|YP11B_YEAST;sp|P0C2I5|YL12B_YEAST	120330	116880	132530	88663	88663	82683	103210	89021	94946
sp|P0C5N3|YG41A_YEAST	114940	125690	135290	141980	136300	129320	145270	124530	128640
sp|P0CE41|HAP1_YEAST	31199	29749	29748	37203	34299	36750	44343	38269	42586
sp|P0CS90|HSP77_YEAST	890910	798320	972960	1674900	1891700	1770300	1263400	1037200	1074600
sp|P0CT04|IPB2_YEAST	595660	553560	662100	417240	464170	425390	1041300	746390	830140
sp|P0CW41|MALX4_YEAST;sp|P0CW40|MALX2_YEAST;sp|Q08295|IMA2_YEAST	24449	22784	24806	13576	12526	12313	49373	43923	50835
sp|P0CX09|YN073_YEAST;sp|P0CX08|DSF1_YEAST	79861	75195	84526	41892	42532	39381	46195	41300	41004
sp|P42222|ERR3_YEAST;sp|P0CX11|ERR2_YEAST;sp|P0CX10|ERR1_YEAST	103650	93649	105530	122290	118360	121090	341060	285250	302550
